id,league,year,type,h2_index,para_index,title,paragraph
14,American Association,1883,h2,3,2,In the American Association,"The American Association champion Philadelphia Athletics lost their first eight post-season exhibition games resulting in the cancellation of a ""World Series"" against the National League pennant-winning Boston Beaneaters."
15,American Association,1884,h1,,,1884 AMERICAN ASSOCIATION,
16,American Association,1884,h2,1,1,Off the field,"Amusement Park promoter La Marcus Thompson built America's first modern roller coaster at Coney Island; Brooklyn, New York called ""The Gravity Pleasure Switchback Railway"". The groundbreaking ride incorporated a flat steel track nailed onto several layers of wooden planks. Two forty-five foot towers were then connected with ramp that allowed the ride to reach a top speed of six miles per hour. The train cars had to be manually towed to the top of the hills at the beginning of both tracks and the patrons were required to get out at the end of the first track and climb stairs to the second hill to board the train again for a return trip. Despite the inconveniences, at only five cents per ride, the ticket profits repaid Thompson's original investment in less than three weeks."
17,American Association,1884,h2,2,1,In the National League,The National League expanded its schedule to one-hundred twelve games.
18,American Association,1884,h2,2,2,In the National League,"A rivalry was born in the ""Big Apple"" as the New York Giants and Brooklyn Trolley-Dodgers met for the first time in an exhibition game on April 18th."
19,American Association,1884,h2,2,3,In the National League,"On June 27th, Larry Corcoran of the Chicago White Stockings became the first pitcher in Major League history with three career no-hitters after blanking the Providence Grays 6-0."
20,American Association,1884,h2,3,1,In the American Association,"Decades before Jackie Robinson ""officially"" broke baseball's color barrier, Moses Fleetwood Walker played forty-six Major League games for the American Association's Toledo Blue Stockings."
21,American Association,1884,h2,3,2,In the American Association,"Thirty-one year-old rookie Sam Kimber (Brooklyn Trolley-Dodgers) tossed an eleven-inning, no-hitter against the Toledo Blue Stockings on October 4th. Unfortunately, darkness came before someone could score and the game was called at a 0-0 tie."
22,American Association,1884,h2,4,1,In the Union Association,"Outfielder Harry Wheeler became the only player ever to appear with five separate teams during the same season. Wheelers 1884 resume included five games with the St. Louis Browns (in the American Association) then on to the Union Association's Kansas City Unions (twenty games), Chicago Browns (seventeen games), Pittsburgh Stoogies (seventeen games) and Baltimore Monumentals (seventeen games)."
23,American Association,1884,h2,4,2,In the Union Association,Philadelphia Keystones catcher Jack Clements became the first player ever to wear a chest protector in a Major League game. Roger Bresnahan would later popularize the device.
24,American Association,1885,h1,,,1885 AMERICAN ASSOCIATION,
25,American Association,1885,h2,1,1,Off the field,"The Statue of Liberty arrived in New York aboard the French ship ISERE. Later assembled on Ellis Island in New York Harbor, the one-hundred fifty-one foot statue was a gift of international goodwill from the people of France to the people of the United States. She was completed and dedicated on October 28th, 1886 and was designated a National Monument on October 15th, 1924. The Statue was extensively restored in time for her spectacular centennial on July 4th, 1986 and today she is still considered THE universal symbol of political freedom and democracy."
26,American Association,1885,h2,2,1,In the National League,"The National League began its season with the founding franchise members including the Boston Beaneaters, Chicago White Stockings, Buffalo Bisons, Detroit Wolverines, New York Giants, Philadelphia Phillies and Providence Grays. After the Union Association folded, the Cleveland Spiders and St. Louis Unions merged into a new National League franchise named the St. Louis Maroons. At the conclusion of the season, the Bison and Grays dropped out and were replaced by the Washington Senators and Kansas City Cowboys."
27,American Association,1885,h2,2,2,In the National League,"Spring Training began as Cap Anson and his Chicago White Stockings traveled to Hot Springs, Arkansas to prepare for the upcoming season."
28,American Association,1885,h2,2,3,In the National League,Art Irwin of the Providence Grays developed the first known fielder's glove after padding a buckskin glove to protect his two broken fingers.
29,American Association,1885,h2,3,1,In the American Association,"The American Association leading St. Louis Browns and National League champion Chicago White Stockings went head-to-head for six Championship games (winning three each) resulting in a rare tie. Despite the forming of a special committee to determine a winner, both teams were declared champions and split the $1,000 purse - $500 each."
30,American Association,1885,h2,3,2,In the American Association,"Both the American Association and National League set a maximum pay cap at $2,000 with no bonuses."
31,American Association,1886,h1,,,1886 AMERICAN ASSOCIATION,
32,American Association,1886,h2,1,1,Off the field,"A bombing at Haymarket Square in Chicago killed seven policemen and injured many others. The attack occurred during a demonstration for an eight-hour workday that was organized by eight alleged anarchists who were later arrested and accused of the crime. Following a speedy trial, three were imprisoned; one committed suicide and four others were hanged. In 1893, Illinois Governor John P. Altgeld pardoned the three survivors after accusations of an unfair trial surfaced."
33,American Association,1886,h2,2,1,In the National League,Pitcher Jim McCormick of the Chicago White Stockings topped the New York Giants 7-3 on July 1st for his sixteenth consecutive win.
34,American Association,1886,h2,2,2,In the National League,"""The Bible of Baseball"" aka The Sporting News was established in St. Louis Missouri."
35,American Association,1886,h2,3,1,In the American Association,The American Association Champion St. Louis Browns took on the National League Champion Chicago White Stockings and beat them in six games for the Championship title.
36,American Association,1886,h2,3,2,In the American Association,Tip O'Neil of the Browns became the first player ever to hit two round-trippers in championship play after knocking two inside-the-park homers en route to a 12-0 massacre over Chicago.
37,American Association,1886,h2,3,3,In the American Association,"Baltimore Orioles pitcher Matt Kilroy posted five-hundred thirteen strikeouts in sixty-eight games, but still finished the season with a 29-34 record and a last-place team."
38,American Association,1887,h1,,,1887 AMERICAN ASSOCIATION,
39,American Association,1887,h2,1,1,Off the field,"English author Sir Arthur Conan Doyle's first Sherlock Holmes story ""A Study in Scarlet"" was published. Doyle's brilliant and theatrical hero solved all of his extraordinarily complex cases through what he called ""ingenious deductive reasoning"". His companion, Dr. Watson, narrated the stories and both characters helped to redefine the mystery novel. Doyle later abandoned his medical practice in 1890 and devoted his time to writing. Other works of the great detective included The Sign of the Four (1890), The Memoirs of Sherlock Holmes (1894), The Hound of the Baskervilles (1902), The Return of Sherlock Holmes (1905), His Last Bow (1917), and The Case Book of Sherlock Holmes, (1927)."
40,American Association,1887,h2,2,1,In the National League,The Philadelphia Phillies finished off their 1887 season with an unprecedented sixteen consecutive wins.
41,American Association,1887,h2,2,2,In the National League,"Detroit Wolverines owner Frederick Stearnes challenged American Association St. Louis owner Chris Von Der Ahe to a best-of-fifteen Championship series. The Wolverines prevailed winning eight games. Despite appearing in sixteen post-season games, the Browns receive nothing for their efforts as Von Der Ahe refused to share his profits."
42,American Association,1887,h2,3,1,In the American Association,St. Louis Browns first baseman/manager Charles Comiskey became the first baseball player ever paid to endorse a product after lending his name and likeness to Mennell's Penetrating Oil.
43,American Association,1887,h2,3,2,In the American Association,"Thomas Ramsey of the Louisville Colonels introduced the ""knuckleball"" pitch, which helped him to fan seventeen batters in a single game — twice."
44,American Association,1887,h2,3,3,In the American Association,"On April 16th, Mike Griffin of the Baltimore Orioles became the first player ever to homer in his first Major League at-bat."
45,American Association,1888,h1,,,1888 AMERICAN ASSOCIATION,
46,American Association,1888,h2,1,1,Off the field,"Serial killer ""Jack the Ripper"" mutilated a number of prostitutes in the East End of London in 1888, setting off a mass hysteria throughout the city. The name ""Jack the Ripper"" originated from a letter apparently written by someone claiming to be the killer at the time of the murders. All five women were brutally slain within a one-mile area radius of each other in the districts of Whitechapel, Spitalfields, Aldgate, and the City of London proper. Despite one of the most intensive manhunts ever conducted by Scotland Yard detectives, ""The Ripper"" was never actually caught, although there were several suspects."
47,American Association,1888,h2,2,1,In the National League,"Charles Ferguson, a standout pitcher with the Philadelphia Phillies died on April 29th twelve days after his twenty-fifth birthday. Ferguson had been a thirty-game winner in 1886 and a twenty-game winner in each of his three other Major League seasons."
48,American Association,1888,h2,2,2,In the National League,"On July 13th, Harry Staley and Pud Galvin of the Pittsburgh Alleghenys became the first pitchers ever to combine for a double-header shutout after blanking Boston 4-0 and 6-0."
49,American Association,1888,h2,2,3,In the National League,"The National League champion New York Giants defeated the American Association's St. Louis Browns (four-time pennant winners) in an eight-game Championship series. Each player earned a $200 bonus plus an additional $128 from to following benefit games. St. Louis owner Chris Von Der Ahe kept the Browns $1,200 pennant purse while referring to his players as ""chumps"" in the papers. As a result, the team had now played in twenty-seven post-season games (over two seasons) without ever receiving a dime."
50,American Association,1888,h2,3,1,In the American Association,American Association umpire John Gaffney changed the system for game calling after moving out from behind the plate — to behind the pitcher when a runner was on base.
51,American Association,1888,h2,3,2,In the American Association,Cincinnati Red Stocking fans were able to follow the game using the first ever baseball scorecard.
52,American Association,1888,h2,3,3,In the American Association,"Perhaps the most famous baseball poem ever written ""Casey at the Bat"" was published in the San Francisco Examiner. Twenty-five year-old author Ernest L. Thayer was paid $5 for his efforts and was simply credited as ""Phin""."
53,American Association,1889,h1,,,1889 AMERICAN ASSOCIATION,
54,American Association,1889,h2,1,1,Off the field,"On June 1st, Americans awoke to the news that Johnstown, Pennsylvania had been devastated by the worst flood in U.S. history. Over 2,200 were dead, with many more homeless. Johnstown was a steel company town with a population of 30,000. It had grown quickly into an industrious community known for the quality of its steel. After a night of heavy rains, the South Fork Dam that protected the city collapsed, sending twenty million tons of water crashing down the narrow valley. Filled with huge chunks of debris, the wall of floodwater grew at times to sixty feet high, tearing downhill at forty miles per hour, leveling everything in its path."
55,American Association,1889,h2,2,1,In the National League,"John T. Brush approved a new salary classification plan based on rating players personal habits from A to E. Class ""A"" players received $2500 dollars while a Class ""E"" player was paid $1,500 dollars and expected to help clean the clubhouse. The Brotherhood of Professional Baseball Players was displeased with the policy, but managed to avert a strike by proposing the development of a third league."
56,American Association,1889,h2,2,2,In the National League,"William Hoy of the Washington Senators became the first outfielder ever to throw out three runners at the plate in a single game. Both deaf and mute from the age of three, Hoy played fourteen years in the majors while hitting .288 with forty home runs and seven-hundred twenty-six runs batted in."
57,American Association,1889,h2,2,3,In the National League,"On October 29th, the New York Giants defeated the Brooklyn Trolley-Dodgers in an early nine game version of the ""Subway Series"" world championship."
58,American Association,1889,h2,3,1,In the American Association,The Louisville Colonels set an unwanted Major League record on June 22nd after suffering their twenty-sixth consecutive loss.
59,American Association,1889,h2,3,2,In the American Association,The Brooklyn Bridegrooms won the American Association pennant after defeating the Columbus Buckeyes 6-1 on October 14th.
60,American Association,1889,h2,3,3,In the American Association,"Montgomery Ward organized a third league known as the ""Players League"" consisting of the Boston Reds, Brooklyn Wonders, Buffalo Bisons, Chicago Pirates, Cleveland Infants, New York Giants, Philadelphia Quakers and Pittsburgh Burghers. It was determined that all players moving into the new league for it's 1890 inaugural season would receive three-year contracts with guaranteed 1888 salaries for the first year and no subsequent pay-cuts."
61,American Association,1890,h1,,,1890 AMERICAN ASSOCIATION,
62,American Association,1890,h2,1,1,Off the field,"Due to a growing concern nationwide over economic power in large corporations, the U.S. Congress passed the first measure to prohibit trusts called the ""Sherman Antitrust Act"". The act, based on the constitutional power of Congress to regulate interstate commerce, declared illegal every contract, combination, or conspiracy in restraint of interstate and foreign trade. A fine of $5,000 and imprisonment for one year was set as the maximum penalties for violating the law."
63,American Association,1890,h2,2,1,In the National League,"On Labor Day, the Pittsburgh Alleghenys were swept in a rare triple-header by the home team Brooklyn Bridegrooms 10-9, 3-2 and 8-4. The trio of winning pitchers included Bob Caruthers, Tom Lovett and Adonis Terry."
64,American Association,1890,h2,2,2,In the National League,New York Giants slugger Mike Tiernan became the first player ever to hit a home run from one ballpark into another after launching a thirteenth inning blast off the Boston Beaneaters' Kid Nichols that traveled over the centerfield wall at the Polo Grounds into the adjacent Brotherhood Park.
65,American Association,1890,h2,3,1,In the American Association,"The Brooklyn Bridegrooms and Cincinnati Reds moved from the American Association to the National League who had also dropped the Washington Senators. The American Association's Kansas City franchise folded, but the Rochester Hop Bitters, Syracuse Stars, Toledo Maumees and Brooklyn Gladiators were added in their place."
66,American Association,1890,h2,3,2,In the American Association,"Ledell ""Cannonball"" Titcomb tossed a 7-0 no-hitter against the Syracuse Stars on September 15th."
67,American Association,1890,h2,4,1,In the Players League,"The newly developed Players League debuted with eight teams (Boston, Brooklyn, Buffalo, Chicago, Cleveland, New York Philadelphia and Pittsburgh) as the Buffalo Bisons recorded the greatest opening day winning margin with a 23-2 victory over the Cleveland Infants."
68,American Association,1890,h2,4,2,In the Players League,"The short-lived Players League folded in December returning all of their players to their original teams. The Pittsburgh franchise deviated from the agreement though and signed second baseman Louis Bierbauer who had originally belonged to the Philadelphia Phillies. After being accused in the papers of being ""Pirates"" the team adopted the nickname and refused to return Bierbauer to their cross-state rivals."
69,American Association,1891,h1,,,1891 AMERICAN ASSOCIATION,
70,American Association,1891,h2,1,1,Off the field,"America's most famous concert venue; Carnegie Hall opened in New York with guest conductor Peter Illich Tchaikovsky on the podium. Inside, the elegant and breathtaking 2,800-seat auditorium still remains as one of the worlds finest. For over one-hundred years, the hall has attracted the world's leading orchestras and solo or group performers including Bernstein, Ellington, Fitzgerald, Garland, Sinatra, Dylan, and the Beatles among thousands of others."
71,American Association,1891,h2,2,1,In the National League,"At twenty years old, Amos Rusie of the New York Giants became the youngest pitcher ever to toss a no-hitter after blanking the Brooklyn Trolley-Dodgers 6-0 on July 31st."
72,American Association,1891,h2,2,2,In the National League,"The Boston Beaneaters won the National League Pennant, while their cross-town rival Reds took the American Association title. For undisclosed reasons, the National League champs declined an invitation for a playoff resulting in no baseball Championship for the first time since 1883."
73,American Association,1891,h2,3,1,In the American Association,"Shortstop John J. McGraw debuted for the Baltimore Orioles on August 26th as the ""Blackbirds"" defeated the Columbus Buckeyes 6-5."
74,American Association,1891,h2,3,2,In the American Association,Ted Breitenstein of the St. Louis Browns became the first pitcher ever to debut with a no-hitter after shutting out the Louisville Colonels 8-0 on October 4th.
75,American Association,1891,h2,3,3,In the American Association,"The American Associated folded in December leaving the Baltimore Orioles, St. Louis Browns, Louisville Colonels and Washington Senators to be absorbed into the National League the following season."
76,American League,1901,h1,,,1901 AMERICAN LEAGUE,
77,American League,1901,h2,1,1,Off the field,"As President William McKinley began his second term, he was fatally shot by anarchist Leon Czolgosz. Czolgosz stated that the President was ""an enemy of good working people"" and was later judged to be sane and executed. The chief event of McKinley's administration was the war with Spain, which resulted in the United States' acquisition of the Philippines and other islands. Theodore Roosevelt was promptly sworn in as his successor and embarked on a wide-ranging program of governmental reform and conservation of natural resources."
78,American League,1901,h2,2,1,In the American League,"On April 28th, Cleveland Indians rookie pitcher Charles Baker surrendered an American League record twenty-three singles in a 13-1 loss to the Chicago White Sox."
79,American League,1901,h2,2,2,In the American League,"In May, White Stockings Herm McFarland and Dummy Hoy set one of the first American League records (most homeruns in a game) with two grand slams during Chicago's 19-9 win over the Detroit Tigers. Detroit also set a Major League mark of their own with twelve errors (ten by the infield) that was amazingly matched by the White Sox in 1903 — against the Tigers."
80,American League,1901,h2,2,3,In the American League,"With two outs in the ninth, Milwaukee Brewers pitcher Bill Reidy set a Major League record after surrendering ten consecutive hits for a 13-2 loss to the Boston Somersets on June 2nd."
81,American League,1901,h2,3,1,In the National League,Cincinnati Reds ace Noodles Hahn struck out sixteen Boston Brave batters on May 22nd for a 4-3 victory and a record that would stand until Jim Maloney matched it in 1963.
82,American League,1901,h2,3,2,In the National League,"On June 20th, Honus Wagner became the first twentieth century player to steal home twice in a single game, as the Pittsburgh Pirates blanked the New York Giants, 7-0."
83,American League,1901,h2,3,3,In the National League,"The Brooklyn Dodgers tied their highest score of the previous century (May 20, 1896) after beating the Cincinnati Reds 25-6 in a September 23rd outing at League Park II."
84,American League,1901,h2,4,1,Around the League,"The American League formally organized with the Baltimore Orioles, Philadelphia Athletics, Boston Somersets, Washington Nationals, Cleveland Blues, Detroit Tigers, Milwaukee Brewers, and Chicago White Sox. Three of the leagues original clubs in Indianapolis, Minneapolis, and Buffalo were dropped. The player limit was set at fourteen per team, and the inaugural schedule was set at one-hundred forty games."
85,American League,1901,h2,4,2,Around the League,"The National League Rules Committee decreed that all foul balls are to count as strikes, except after two, catchers must play within ten feet of the batter, a ball will be called if the pitcher does not throw to a ready and waiting batter within twenty seconds, and that the umpire will remove all players using indecent language."
86,American League,1901,h2,4,3,Around the League,"At the December league meeting, the Milwaukee Brewers franchise was officially dropped from the American League and replaced by the St. Louis Browns."
87,American League,1902,h1,,,1902 AMERICAN LEAGUE,
88,American League,1902,h2,1,1,Off the field,"The National Bureau of the Census was established and later became part of the Department of Commerce, a federal executive department that was charged with promoting U.S. economic development and technological advancement. Among its tasks was the taking of censuses, promotion of American business at home and abroad, establishing standard weights and measures, and issuing patents and registering trademarks."
89,American League,1902,h2,2,1,In the American League,"The Milwaukee Brewers moved before the 1902 season started and became the St. Louis Browns, where they would play until 1953. In 1954, the franchise moved and became the modern-day Baltimore Orioles."
90,American League,1902,h2,2,2,In the American League,"In July, the Baltimore Orioles were forced to forfeit a game to St. Louis and their team to the league. With only five players available for the line-up, the American League's front office borrowed back-up players from several other teams and maintained the franchise for the remainder of the season."
91,American League,1902,h2,3,1,In the National League,"The Cincinnati Reds thrashed the Philadelphia Phillies 24-2 on May 13, 1902, with each of the nine starters collecting 2-or-more hits."
92,American League,1902,h2,3,2,In the National League,"Pittsburgh Pirate Honus Wagner committed ""Grand Larceny"" after stealing second, third and home during the second game of an August 13th doubleheader against the Boston Braves. Amazingly, it wasn't the first time as Wagner had originally accomplished the feat in 1899."
93,American League,1902,h2,4,1,Around the League,"The 1902 Major League Baseball season began on April 17, and concluded on October 5. Each team played the other seven teams in their league twenty times, for a 140-game season."
94,American League,1902,h2,4,2,Around the League,"Former editor of the Louisville Commercial, Harry Pulliam was elected as the President of the National League. His reputation for honesty and businesslike approach to baseball helped forge a peace between the American and National Leagues that resulted in the ""National Agreement"" that governed baseball through 1920. In February of 1909 Pulliam began showing signs of mental illness and eventually suffered a nervous breakdown. Later that year he committed suicide by shooting himself in his room at the New York Athletic Club."
95,American League,1903,h1,,,1903 AMERICAN LEAGUE,
96,American League,1903,h2,1,1,Off the field,"Automobile pioneer Henry Ford organized the Ford Motor Company. By cutting the costs of production and by adapting the conveyor belt and assembly line to automobile production, Ford was soon able to outdistance all his competitors to become the largest car manufacturer in the world. In 1908 he designed the infamous ""Model T"" and nearly seventeen million cars were produced worldwide before the model was discontinued in 1928. Later a new design called the ""Model A"" was created to meet growing competition."
97,American League,1903,h2,2,1,In the American League,"On May 6th, the Chicago White Sox committed twelve errors, and the Detroit Tigers answered back with six of their own. The combined ""18-E debacle"" set a modern Major League record for the most errors (by two teams) in a single game."
98,American League,1903,h2,2,2,In the American League,"Buck Freeman of the Boston Americans (Red Sox), completed a cycle on June 21, 1903, the first in franchise history. Just over a month later, Pat Dougherty, also with Boston, hit for the cycle as well. The Boston Americans became the second American League team with two cycles in the same season, joining the Philadelphia Athletics (1901)."
99,American League,1903,h2,2,3,In the American League,"At a post-season American League meeting, Ban Johnson was unanimously re-elected president and given a raise of $10,000. The American League owners also voted to allow base-running coaches at first and third at all times and to institute the ""foul strike"" rule in which a foul would be counted as a strike unless there are already two on the batter."
100,American League,1903,h2,3,1,In the National League,"Fred Clarke hit for the cycle on May 7, 1903. Two years earlier, on July 23, 1901, Clarke had completed his first career cycle making him the first twentieth century player to hit for the cycle twice, and the first Pirate to ever complete two cycles in Pittsburgh."
101,American League,1903,h2,3,2,In the National League,"Cincinnati Reds shortstop Tommy Corcoran set a Major League record after totaling fourteen assists in a 4-2 regulation win over the St. Louis Cardinals, on August 7, 1903. Lave Cross, of the Philadelphia Athletics, had originally racked up fifteen assists during a twelve-inning game in 1897."
102,American League,1903,h2,3,3,In the National League,The National League-leading Pittsburgh Pirates set an uncharacteristic National League mark for inept fielding after making six errors in the first inning of a 13-7 New York Giants victory on August 20th.
103,American League,1903,h2,4,1,Around the League,"In Cincinnati, peace talks between both rival leagues continued as the Nationals proposed a consolidated twelve team league, which the Americans promptly rejected. Eventually an agreement was reached to coexist peacefully with the American League promising to stay out of Pittsburgh."
104,American League,1903,h2,4,2,Around the League,Baseball rules committee chairman Tom Loftus announced that the pitcher's box would not be more than fifteen inches higher than the baselines or home plate.
105,American League,1903,h2,4,3,Around the League,"The inaugural World Series of 1903 was a resounding success and represented the first step in healing the bruised egos of both the veteran National and fledgling American Leagues. Pittsburgh and Boston went head-to-head for eight games proving that great baseball between the two leagues was possible and that a merger would benefit the growth of the sport. Unfortunately, some owners still disagreed with the concept and in 1904 it was prematurely cancelled."
106,American League,1904,h1,,,1904 AMERICAN LEAGUE,
107,American League,1904,h2,1,1,Off the field,"The first section of the New York Subway system was opened between City Hall and 145th Street. The original system consisted of twenty-eight stations along 9.1 miles of track with the IRT extending to the Bronx in 1905, Brooklyn in 1908 and Queens in 1915. Since then, it has expanded to over two-hundred thirty miles of routes and over four-hundred miles of single track."
108,American League,1904,h2,2,1,In the American League,"On May 11th, Sam Crawford of the Detroit Tigers broke Boston Red Sox ace Cy Young's consecutive streak of no-hit innings at 24 1/3 (seventy-six batters without a hit) after managing a one-out single en route to a 1-0 victory."
109,American League,1904,h2,2,2,In the American League,"The St. Louis Browns and Detroit Tigers played a doubleheader on September 8, 1904, another doubleheader on the 9th, a third doubleheader on the 10th, then a fourth doubleheader on the 11th! After ""only"" one game on the 12th, they faced off for a final doubleheader on the 13th, setting a record for the most games played consecutively (11) between two teams in Major League Baseball history."
110,American League,1904,h2,2,3,In the American League,"After pitching a record setting season with forty-one wins and four-hundred fifty-four innings in fifty-five games, New York Highlanders (Yankees) ace Jack Chesbro ""crashed and burned"" after losing control of a spitball that sailed over his catcher's head and allowed the American League pennant losing run to score from third."
111,American League,1904,h2,3,1,In the National League,New York Giants' Dan McGann stole five bases on May 27th during 3-1 win over the cross-town rival Brooklyn Dodgers. The record stood for seventy years until Davey Lopes of the Los Angeles Dodgers matched the mark in August of 1974. Atlanta Braves outfielder Otis Nixon eventually topped the feat with six steals (against the Montreal Expos) in 1991.
112,American League,1904,h2,3,2,In the National League,"Frank Chance of the Chicago Cubs set a painful Major League mark after being hit four times in one day during a May 30th double header against the Cincinnati Reds. In the first game, ""The Peerless Leader "" actually lost consciousness after being tagged in the head by Jack Harper."
113,American League,1904,h2,3,3,In the National League,"In October, St. Louis Cardinals pitcher Jack Taylor tossed his thirty-ninth consecutive complete game of the season setting a modern Major League record. The streak started on April 15th and finished with an astounding three-hundred fifty-two innings pitched."
114,American League,1904,h2,4,1,Around the League,"John T. Brush, president of the National League champion New York Giants, refused to play the returning American League champion Boston Americans. He was quoted as stating that he refused to compete with a ""representative of the inferior American League"". Surprisingly, Brush regretted the decision and later that year proposed to continue with the series as originally conceived. His about-face spawned the ""Brush Rules,"" a set of guidelines relating to the on-field play and off-field finances of the World Series, which exists to this day."
115,American League,1905,h1,,,1905 AMERICAN LEAGUE,
116,American League,1905,h2,1,1,Off the field,"The ""Industrial Workers of the World"" (IWW) was founded in Chicago with the hopes of giving more control to unions. The aim of the IWW was to unite in one body all skilled and unskilled workers for the purpose of overthrowing capitalism by using direct action, propaganda, the boycott, and the strike. The IWW was also opposed the use of sabotage, arbitration, collective bargaining, and political affiliation. Unfortunately, recurring controversy during both World Wars along with accusations of treason caused dissention in the ranks from the top-down. From a probable strength of at least 30,000 in 1912, the membership later fell to less than 10,000 in 1930 and in the mid-1990s remained at less than 1,000."
117,American League,1905,h2,2,1,In the American League,"A committee of Washington writers voted for ""Nationals"" as the new American League team nickname, but the ""Senators"" continued as the majority fan favorite."
118,American League,1905,h2,2,2,In the American League,"New York Highlanders first baseman Hal Chase set a Major League record on August 5th with thirty-eight putouts during a doubleheader sweep (3-1, 6-5) versus the visiting St. Louis Browns."
119,American League,1905,h2,3,1,In the National League,"On April 26th, Chicago Cubs outfielder Jack McCarthy tied a Major League record after starting three double plays to preserve a 2-1 victory over the Pittsburgh Pirates. Jackson Nelson had originally set the DP record in 1887."
120,American League,1905,h2,3,2,In the National League,"Brooklyn Dodgers shortstop Phil Lewis earned his paycheck and tied a National League record on July 20th, after having eighteen chances for seven assists, six putouts and five errors en route to a 2-1 win over the Cincinnati Reds."
121,American League,1905,h2,3,3,In the National League,Pittsburgh Pirates catcher Dave Brain became the first player in National League history to hit three triples in a single game — twice in one season (vs. St. Louis and vs. Boston).
122,American League,1905,h2,3,4,In the National League,"Boston Braves first baseman Fred Tenney completed the season with a National League record one-hundred fifty-two assists. The mark stood until 1986, when Sid Bream of the Pittsburgh Pirates topped it with one-hundred sixty-six."
123,American League,1905,h2,4,1,Around the League,"New York Giants owner John T. Brush, who refused to play the American League pennant winners in 1904, proposed a new set of rules governing future World Series. Later known as the ""Brush Rules,"" these guidelines relating to the on-field play and off-field finances of the Series are still used to this day."
124,American League,1905,h2,4,2,Around the League,"The National League Board of Directors acquitted St. Louis Cardinal right-hander Jack Taylor on the charges of throwing games. Despite the verdict, Taylor was still fined $300 for using poor judgment and practicing bad conduct."
125,American League,1905,h2,4,3,Around the League,"On May 30th, both leagues posted record attendance figures for the Memorial Day holiday. Due to several doubleheaders, 80,963 attended eight American League games and 67,806 witnessed seven National League events."
126,American League,1906,h1,,,1906 AMERICAN LEAGUE,
127,American League,1906,h2,1,1,Off the field,"More than five-hundred people were killed during the great San Francisco earthquake, which struck the ""City by the Bay"" on the morning of April 18 at 5:15 AM. Modern analysis estimated the tremors to register at an 8.25 on the Richter scale (By comparison, the quake that hit San Francisco on October 17, 1989 registered 6.7). The greatest destruction came from the fires that were ignited and the ensuing inferno ravaged the city for three days before burning out. In the end, the maelstrom destroyed four-hundred ninety city blocks, a total of 25,000 buildings and rendered over 250,000 residents homeless. Damage estimates topped $350,000,000."
128,American League,1906,h2,2,1,In the American League,"The New York ban on Sunday baseball was temporarily lifted on April 29th as the Highlanders and Philadelphia Athletics played a benefit game for the victims of the San Francisco earthquake, raising $5,600."
