league,year,title,quote
American League,1938,1938 AMERICAN LEAGUE,"""I'm sorry I have no picture, but you are absolutely right. I was out by a mile (September 27, 1938) and had no business being called safe so you can tell your boys that their dad stopped Hank Greenberg from getting home run number 57."" - Hank Greenberg"
American League,1939,1939 AMERICAN LEAGUE,"""Hell Lou (Gehrig), it took them 15 years to get you out of the ball game (on his retirement). Sometimes they get me out in 15 minutes."" - Lefty Gomez"
American League,1940,1940 AMERICAN LEAGUE,"""What visions burn, what dreams possess him Seeker of the night? The faultless velvet of the diamond. The mounting roar of 80,000 voices. And (Lou) Gehrig coming to bat."" - Thomas Wolfe in You Can't Go Home Again (1940)"
American League,1941,1941 AMERICAN LEAGUE,"""Baseball is mourning the passing of Dizzy Dean from the major league scene, and it does well to mourn. There will never be another Dizzy. The broke the mold when he was born."" - Roy Stockton of the St. Louis Post-Dispatch"
American League,1942,1942 AMERICAN LEAGUE,"""I honestly feel that it would be best for the country to keep baseball going. There will be fewer people unemployed and everybody will work longer hours and harder than ever before."" - Roosevelt, Franklin D. 32nd President of the United States. Green Light Letter. 15 January 1942."
American League,1943,1943 AMERICAN LEAGUE,"""Joe McCarthy? I loved him. One of the greatest men I ever knew. I don't know where in the heck he learned all his psychology about ballplayers. He could handle almost anybody."" - Yankee outfielder Tommy Henrich in Baseball Between the Lines (1976)"
American League,1944,1944 AMERICAN LEAGUE,"""After the war, the Browns were in good financial shape. Had no bills - when the DeWitts took over, they were known as some of the best paying people because you got a discount for paying cash and they usually took advantage of this."" - Bill Borst in The Brown Stockings Fan Club (1985)"
American League,1945,1945 AMERICAN LEAGUE,"""Hal Newhouser is the only pitcher in major league history to win back-to-back Most Valuable Player Awards (1944 and 1945). His blazing fastball made him a strikeout king."" - National Baseball Hall of Fame"
American League,1946,1946 AMERICAN LEAGUE,"""A manager who cannot get along with a .400 hitter ought to have his head examined."" - Joe McCarthy on September 29, 1946"
American League,1947,1947 AMERICAN LEAGUE,"""A manager who cannot get along with a .400 hitter ought to have his head examined."" - Joe McCarthy on September 29, 1947"
American League,1948,1948 AMERICAN LEAGUE,"""A great ball player. A great man. A great American."" - Inscription on Babe Ruth monument unveiled April 19, 1948"
American League,1949,1949 AMERICAN LEAGUE,"""A great ball player. A great man. A great American."" - Inscription on Babe Ruth monument unveiled April 19, 1949"
American League,1950,1950 AMERICAN LEAGUE,"""I'm not quitting because I'm too old. I'm quitting because I think people want me to."" - Connie Mack on October 18, 1950"
American League,1951,1951 AMERICAN LEAGUE,"""I feel his (Eddie Gaedel) participation in an American League championship game comes under the heading of conduct detrimental to baseball."" - American League President Will Harridge"
American League,1952,1952 AMERICAN LEAGUE,"""Man, I'm a hundred years old and I can still strike these guys out."" - Satchel Paige on August 6, 1952"
American League,1953,1953 AMERICAN LEAGUE,"""I don't think its wise to send a man (Bobo Holloman) back to the minor leagues right after he's become immortal. It looks as if you are punishing him for throwing a no-hitter."" - Bill Veeck"
American League,1954,1954 AMERICAN LEAGUE,"""For the first time since 1954, it's the - yes! - the first-place Indians. Talk about a real-life 'Field of Dreams.' It don't get any better than this."" - Walter Shapiro [fantasizing about a strike free season] in Time (1994)"
American League,1955,1955 AMERICAN LEAGUE,"""Just hold them for a few innings, fellas. I'll think of something."" - Chuck Dressen"
American League,1956,1956 AMERICAN LEAGUE,"""(Mickey) Mantle's got more power than any hitter I ever saw - including the Babe."" - Yankee Coach Bill Dickey on April 17, 1956"
American League,1957,1957 AMERICAN LEAGUE,"""If thirteen major league teams can come up with colored players, why can't the other three?"" - Jackie Robinson (1957 retirement comment about Philadelphia, Boston & Detroit)"
American League,1958,1958 AMERICAN LEAGUE,"""Do you have any observations with reference to the application of the antitrust laws to baseball?"" - Senator Kefauver ""My views are just about the same as Casey's (Stengel)."" - Mickey Mantle"
American League,1959,1959 AMERICAN LEAGUE,"""It takes all winter to train them (the insects which caused a 28 minute delay on June 2, 1959) and now, poof, on lousy bomb (fireworks) and they're all blown-up."" - White Sox owner Bill Veeck"
American League,1960,1960 AMERICAN LEAGUE,"""They examined all my organs. Some of them are quite remarkable and others are not so good. A lot of museums are bidding for them."" - Casey Stengel"
American League,1961,1961 AMERICAN LEAGUE,"""I really believe that the sixty-one homers was the greatest feat in baseball history."" - Mickey Mantle"
American League,1962,1962 AMERICAN LEAGUE,"""As his teammates rushed out of the dugout, and the home crowd went wild (no-hitter being tossed), (Bo) Belinsky pointed to the stands and said to his catcher Buck Rodgers, 'Hey look at that blonde.' "" - Steve Wulf in Baseball Anecdotes (1981)"
American League,1963,1963 AMERICAN LEAGUE,"""I can see how he (Sandy Koufax) won 25 games, but what I can't understand is how he lost five."" - Yogi Berra in 1963 World Series"
American League,1964,1964 AMERICAN LEAGUE,"""It was pretty somber. Yogi said, 'Hey (Phil) Linz, shove that (harmonica) right up you #*@.' I didn't hear him so I asked Mickey (Mantle) what Yogi had said and Mick said, 'He said play it louder.' So I did. Yogi went berserk and came charging to the back of the bus, enraged. Mick couldn't stop laughing."" - Phil Linz in the New York Daily News (August 21, 1964)"
American League,1965,1965 AMERICAN LEAGUE,"""I again find myself humbled and somewhat overwhelmed by the events unfolding in front of us."" - Al Kaline"
American League,1966,1966 AMERICAN LEAGUE,"""Probably the most dramatic change in pitching I've observed in my years in baseball has been the disappearance of the knockdown or brushback pitch. This is why record numbers of home runs are flying out of ballparks, why earned run averages are soaring, and why there are so few twenty game winners in the majors."" - Frank Robinson"
American League,1967,1967 AMERICAN LEAGUE,"""And if I have my choice between a pennant and a triple crown, I'll take the pennant every time."" - Carl Yastrzemski (who did both this season)"
American League,1968,1968 AMERICAN LEAGUE,"""Anyone who could drink 25 Pepsis a day, play the organ in his (Denny McLain) spare time and win 31 games in a season was quite clearly, a very special person who deserved special privileges."" - Joe Falls in Detroit News"
American League,1969,1969 AMERICAN LEAGUE,"""I can't play anymore (retirement press conference on March 1, 1969). I can't hit the ball when I need to. I can't steal second when I need to. I can't go from first to third when I need to. I can't score from second when I need to. I have to quit."" - Mickey Mantle"
American League,1970,1970 AMERICAN LEAGUE,"""To go to a game in Sportsman's Park in St. Louis, or Crosley Field in Cincinnati, or Forbes Field in Pittsburgh, or Shibe Park in Philadelphia, was to experience baseball intimately, and to be marinated in a sense of many summers lingering in the atmosphere."""
American League,1971,1971 AMERICAN LEAGUE,"""I am the proudest man on the face of the Earth today."" - Satchel Paige on August 9, 1971 (National Baseball Hall of Fame induction speech)"
American League,1972,1972 AMERICAN LEAGUE,"""The only difference between me and those other great Yankees is my skin color."" - Reggie Jackson"
American League,1973,1973 AMERICAN LEAGUE,"""I hope it (the designated hitter 'experiment') works. I would have preferred that both leagues did it, but if it's successful in one, then I hope the National follows suit."" - Commissioner Bowie Kuhn"
American League,1974,1974 AMERICAN LEAGUE,"""I used to think Al Kaline could hit .400, or (Mickey) Mantle, but Mantle missed the ball too much. Too many strikeouts. He was forever going for the long ball, even with two strikes. Not quite enough finesse. And time ran out on Kaline and (Willie) Mays."" - Ted Williams in My Turn at Bat (1988)"
American League,1975,1975 AMERICAN LEAGUE,"""A lot of things happened to me that year (1975) . It was new and it happened very fast. I really didn't enjoy everything that was happening for me until later. Personally, I didn't get a chance to enjoy that until years later. As a team, I enjoyed that we were winning and in first almost the entire year. I came from a winning background (USC) with three national titles."" - Fred Lynn"
American League,1976,1976 AMERICAN LEAGUE,
American League,1977,1977 AMERICAN LEAGUE,"""We had a certain swagger. These kids will develop that as they learn to win. Then they'll start expecting to."" - Dennis Eckersley"
American League,1978,1978 AMERICAN LEAGUE,"""Never a day went by when you didn't learn something from (Joe) McCarthy."" - Joe DiMaggio"
American League,1979,1979 AMERICAN LEAGUE,"""I never got many questions about my managing. I tried to get twenty-five guys who didn't ask questions."" - Earl Weaver"
American League,1980,1980 AMERICAN LEAGUE,"""What I did was stupid and I'll never do it again. I never wanted this to happen and I didn't know the consequences. Besides, I'd only scratched three balls that night and none of them did anything."" - Rick Honeycutt"
American League,1981,1981 AMERICAN LEAGUE,"""If Bowie Kuhn were here today, this strike never would have occurred."" - Peter Gammons of the Boston Globe"
American League,1982,1982 AMERICAN LEAGUE,"""Maybe they made me captain because I've been here so long. If I'm supposed to be captain by example, then I'll be a terrible captain."" - Thurman Munson"
American League,1983,1983 AMERICAN LEAGUE,"""The spirit of the agreement was that it wasn't supposed to be a ban. But within ten minutes of the time we signed it, [Commissioner] Fay Vincent said, 'It is a permanent suspension.'. . . That's a lie! The man lied!"" - George Steinbrenner"
American League,1984,1984 AMERICAN LEAGUE,"""I really do love baseball."" - President Ronald Reagan"
American League,1985,1985 AMERICAN LEAGUE,"""I just take my three swings (at Phil Niekro's knuckleball) and go sit on the bench. I don't want to mess up my swing."" - Dick Allen"
American League,1986,1986 AMERICAN LEAGUE,"""All you have to do is pick up a baseball. It begs to you - throw me."" - Dave Dravecky"
American League,1987,1987 AMERICAN LEAGUE,"""If you had a pill that would guarantee a pitcher twenty wins but might take five years off his life, he'd take it."" - Jim Bouton"
American League,1988,1988 AMERICAN LEAGUE,"""That's a lot of bombs (sixty-one home runs). The stars and planets have to be lined up just right for that."" - Mo Vaughn"
American League,1989,1989 AMERICAN LEAGUE,"""He's (Dave Stieb) good, but there's nobody in this world as good as he acts like he is."" - Gene Mauch"
American League,1990,1990 AMERICAN LEAGUE,""" - Al Widmar"
American League,1991,1991 AMERICAN LEAGUE,""" - Nolan Ryan"
American League,1992,1992 AMERICAN LEAGUE,"""If a tie is like kissing your sister, losing is like kissing your grandmother with her teeth out."" - George Brett"
American League,1993,1993 AMERICAN LEAGUE,"""I wanted to be like Nolan Ryan. I didn't want to be like Pete Gray."" - Jim Abbott"
American League,1994,1994 AMERICAN LEAGUE,"""I took the two most expensive aspirins in history."" - Wally Pipp after Lou Gehrig replaced him in lineup"
American League,1995,1995 AMERICAN LEAGUE,"""You are challenged by the game of baseball to do your very best, day in and day out, and that's all I've ever tried to do."" - Cal Ripken, Jr."
American League,1996,1996 AMERICAN LEAGUE,"""The game has to be fun if you're going to be any good at all."" - Don Zimmer"
American League,1997,1997 AMERICAN LEAGUE,"""You are challenged by the game of baseball to do your very best, day in and day out, and that's all I've ever tried to do."" - Cal Ripken, Jr."
American League,1998,1998 AMERICAN LEAGUE,"""You measure the value of a ballplayer by how many fannies he puts in the seats."" - George Steinbrenner"
American League,1999,1999 AMERICAN LEAGUE,"""You measure the value of a ballplayer by how many fannies he pits in the seats."" - George Steinbrenner"
American League,2000,2000 AMERICAN LEAGUE,"""It was basically an unsportsmanlike conduct penalty and in the NFL you get fifteen yards for that. They found there was no intent (during the bat throwing incident in the 2000 World Series) and we knew it was that way from the beginning."" - Roger Clemens"
American League,2001,2001 AMERICAN LEAGUE,"""The amazing thing about baseball is that no matter how many games you win, unless you win a World Series, you're going to feel disappointment."" - Seattle Mariners Manager Lou Piniella"
American League,2002,2002 AMERICAN LEAGUE,"""The goal is to win it again. That's all we're here to do. People get remembered for championships, and that's what we want to do. We got one, so let's try to get two."" - World Series MVP Troy Glaus"
American League,2003,2003 AMERICAN LEAGUE,"""George Steinbrenner cares about one thing: winning. Everything about him — his checkbook, charm and formidable will — serves that goal. This is a man who peppers sports talk with quotes from Douglas MacArthur, declaring, 'Victory is essential.' "" - Stuart Miller in The Sporting News"
American League,2004,2004 AMERICAN LEAGUE,"""(Carlos) Beltran is what scouts call a 'five-tool player,' with good fielding skills, a good throwing arm, ability to hit for average, power, and steal bases."" - BrainyEncyclopedia (website)"
American League,2005,2005 AMERICAN LEAGUE,"""To me, defense is foremost. It's always been. The White Sox showed us this year pitching and defense wins to this day. I would certainly trade his (David Ortiz) World Series championship for this (2005) MVP trophy. That's the only reason I play baseball. It's what I'm consumed to do right now."" - New York Yankees Third Baseman Alex Rodriguez on ESPN.com (AP Wire, 11/14/2005)"
American League,2006,2006 AMERICAN LEAGUE,"""It's disappointing. I'd rather be right now setting up my starting rotation for the playoffs than sitting at home watching Ozney (Guillen's youngest son) play. My job is to try to get in the playoffs, and unfortunately I didn't do it. I don't feel disappointed about the players. I feel disappointed about the season."" - Ozzie Guillen on MLB.com (Scott Merkin, 10/01/2006)"
American League,2007,2007 AMERICAN LEAGUE,"""This has been a great 12 years. Whatever the hell happens from here on out, I'll look back on these 12 years with great, great pleasure. The 12 years just felt like they were 10 minutes long, to be honest with you."" - New York Yankees Manager Joe Torre (AP Wire, 10/09/2007)"
American League,2008,2008 AMERICAN LEAGUE,"""Baseball never promises you a happy ending. In fact, it braces you for failure more than success, so that you fully appreciate the latter. There are 30 teams, and seven of those have advanced to the postseason; the Twins or White Sox loom as the eighth and last. Baseball dooms you to two failures in every three at-bats on average, if you're lucky. And so it goes for ballparks: No Major League stadium ever has gone out a world champ, and thus there will be no last hurrah at either New York yard."" - Sportswriter Mark Newman on MLB.com (09/29/2008, It's a wonderful world in baseball)"
American League,2009,2009 AMERICAN LEAGUE,"""The Angels family has suffered a tremendous loss today. We are deeply saddened and shocked by this tragic loss. Our thoughts and prayers go out to Nick's family, friends, loved ones and fans."" - Reagins, Tony. Angels General Manager. Angels rookie pitcher Adenhart killed in car crash. Nieves, Rosalina. Sports Illustrated Staff Writer. 9 April 2009."
American League,2010,2010 AMERICAN LEAGUE,"""I imagined early in the year I'd be in the N.L.C.S., playing at Citi Field. Instead I'll be in the A.L.C.S."" - Jeff Francoeur in the New York Times (Pat Borzi, 10/14/2010, 'Francoeur Misses His Friends but Is Happy in the Playoffs', Link)"
American League,2011,2011 AMERICAN LEAGUE,"""This one is going to cost me a lot of money this is patetic <sp>."" - Guillen, Ozzie. Ejected for arguing a called third strike & was fined $50,000. Twitter Post. 27 April 2011."
American League,2012,2012 AMERICAN LEAGUE,"""It is unfortunate, but we played as hard as we could. Losing to the World Series champions isn't too bad. We played good baseball, but they just beat us. We had a great season to get to the playoffs, and we played well to get to the World Series. You just don't get to write your own script."" - Fielder, Prince. Detroit Tigers Lose World Series Game 4 As Miguel Cabrera Home Run Isn't Not Enough. The Huffington Post. 29 October 2012."
American League,2013,2013 AMERICAN LEAGUE,"""A day after getting swept from the World Series, the Detroit Tigers were installed as betting favorites to win Major League Baseball's championship in 2013."" - Bloomberg (10/30/2012, Tigers Favored to Win 2013 Baseball World Series, Yankees Second, Source)"
American League,2014,2014 AMERICAN LEAGUE,"""The '90s were difficult. We had a lot of headaches. We lost the 1994 World Series. That was a sad thing. … But history has proven that set up the next 21 years of labor peace. I can say the sport has never been more popular. In the last 10 years, we have had the most attendance ever. We have a labor peace that was unheard of. When I took over, the game's revenues were $1.7 billion. They are now $8.5 billion. People refer to the post-war era as the Golden Age of Baseball. Any way you look at it, this is the Golden Age of Baseball."" - Selig, Bud. Commissioner of Baseball. Selig having fun in his farewell tour of ballparks. Ringolsby, Tracy. MLB Staff Writer. 2 May 2014."
American League,2015,2015 AMERICAN LEAGUE,"""Another priority for me is to continue to modernize the game (in 2015) without interfering with its history and traditions. Last season's expanded instant replay improved the game's quality and addressed concerns shared by fans and players. We made a dramatic change without altering the game's fundamentals. I look forward to tapping into the power of technology to consider additional advancements that will continue to heighten the excitement of the game, improve the pace of play and attract more young people to the game"" - Commissioner of Baseball Rob Manfred (01/25/2015, 'Commissioner Rob Manfred's letter to fans', Source)"
American League,2016,2016 AMERICAN LEAGUE,"""It might as well be a matchup from a movie: the two teams with the longest title droughts in baseball paired in the same World Series. No wonder, then, that Joe Maddon has watched Field of Dreams since his Chicago Cubs clinched the National League pennant. 'I cry easily,' said Maddon, the Cubs’ manager. 'So the connection to the past is very important.' To loosely quote the script, the memories could be so thick at this World Series, the fans will have to swat them away from their faces. The Cubs have gone 108 years without a championship. The Cleveland Indians have gone 68. No other team in baseball has come close to so many consecutive unfulfilled seasons. 'The baseball gods are really happy right now,' the Indians' Mike Napoli said. 'I wanted the Cubs to win, just because I knew how cool it would be to be a part of it. I think it's going to be a special World Series. There's two droughts, and there’s going to be a winner.'"" - New York Times Staff Writer Tyler Kepner (10/24/2016, World Series Preview: For Cubs or Indians, Decades of Waiting Are Nearly Over, Source)"
American League,2017,2017 AMERICAN LEAGUE,"""'Twenty years ago, when you talked to National League owners about the DH, you'd think you were talking some sort of heretical comment,' Manfred told reporters Thursday at the owners meetings in Coral Gables, Fla. 'But we have a newer group. There's been turnover. And I think our owners in general have demonstrated a willingness to change the game in ways that we think would be good for the fans, always respecting the history and traditions of the sport.'"" - Botte, Peter. New York Daily News Staff Writer. MLB commissioner Rob Manfred says National League could implement DH by 2017. 21 January 2016."
American League,2018,2018 AMERICAN LEAGUE,"""Twenty years ago, when you talked to National League owners about the DH, you'd think you were talking some sort of heretical comment,"" Manfred told reporters Thursday at the owners meetings in Coral Gables, Fla. ""But we have a newer group. There's been turnover. And I think our owners in general have demonstrated a willingness to change the game in ways that we think would be good for the fans, always respecting the history and traditions of the sport."" - New York Daily News Staff Peter Botte (01/21/2016, MLB commissioner Rob Manfred says National League could implement DH by 2017, Source)"
American League,2019,2019 AMERICAN LEAGUE,"""Twenty years ago, when you talked to National League owners about the DH, you'd think you were talking some sort of heretical comment,"" Manfred told reporters Thursday at the owners meetings in Coral Gables, Fla. ""But we have a newer group. There's been turnover. And I think our owners in general have demonstrated a willingness to change the game in ways that we think would be good for the fans, always respecting the history and traditions of the sport."" - New York Daily News Staff Peter Botte (01/21/2016, MLB commissioner Rob Manfred says National League could implement DH by 2017, Source)"
American League,2020,2020 AMERICAN LEAGUE,"""It's pretty cool (winning the 2020 American League batting title). I don't think it's really sank in yet. I wish it was over 162 games, and I wish there were fans in the stands, but it is what it is and I'm definitely proud of it."" - DJ LeMahieu"
American League,2021,2021 AMERICAN LEAGUE,"""I think it's (expanding the postseason) good for baseball because it creates competitiveness. The fans know that if there's eight playoff spots in each league, you're going to have eleven or twelve teams competing for those spots. You know in some form you're going to be in it. So the more things we can do to create competition, I think that helps."" - Boras, Scott. USA Today: MLB rule changes: League still discussing universal DH and expanded playoffs for 2021 season. 15 January 2021."
American League,2022,2022 AMERICAN LEAGUE,"""I'm going to be open-minded and evaluate all opportunities. We just want to make sure we put the best team out there (in 2022), so no guarantees right now for anybody."" - Cashman, Brian. New York Yankees General Manager. Press Conference. 9 November 2021."
American League,2023,2023 AMERICAN LEAGUE,"""Way-too-early Power Rankings, New Year's edition: 1. Astros. Repeating as World Series champions isn't easy, but the Astros probably deserve the benefit of the doubt. They've played in six straight AL Championship Series. They've won the World Series twice in that span. They have a starting staff that is six deep, which enabled them to let Justin Verlander, the AL Cy Young Award winner, leave for the Mets -- simply because they don't really need him. The 'World Series hangover' likely won't apply this year, considering Houston played two games over the minimum in the postseason and had multiple days of rest between each round. Though the AL West has improved in some areas -- the Mariners will be strong again, and the Rangers took measures to improve -- the Astros, again, will be the favorites to nab another division title."" - Footer, Alyson. MLB Staff Writer. Here are the first Power Rankings of 2023. 1 January 2023."
